Code,Index,IsTurnedOn,Name,longname,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,NumMigrations,MultiYrMigrations,ExternalReproduction,RecruitType,IsFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend,numMoveEntries,isBioEroder,isSupplemented,isExternal,IsHeatMap,IsLTL,IsBenthos,IsFish,IsBiggerthanfish,Large_group,Large_group_alt,Large_group_alt2,Large_group_alt3,Subgroup,isVertebrate
BIV,20,1,Bivalve,Bivalves,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,SED_EP_FF,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,Benthos,Benthos,Benthos,Benthos,Benthos,Invertebrate
GEC,21,1,Geoduck,Geoducks,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,SED_EP_FF,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,Benthos,Benthos,Benthos,Benthos,Benthos,Invertebrate
BC,22,1,Carn_Infauna,Carnivorous infauna,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,Benthos,Benthos,Benthos,Benthos,Benthos,Invertebrate
HEP,23,1,Herring_PS,Pacific Herring Puget Sound,7,1,2,1,1,1,1,1,1,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,Fish,Forage fish,Forage fish,Forage fish,Fish,Vertebrate
HEC,24,1,Herring_Cherry,Pacific Herring Cherry Point,6,1,2,1,1,1,1,1,1,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,Fish,Forage fish,Forage fish,Forage fish,Fish,Vertebrate
FPS,25,1,Sm_Plank_Fish,Small Planktivorous Fish,8,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,Fish,Forage fish,Forage fish,Forage fish,Fish,Vertebrate
POP,26,1,Perch_Fish,Perch,8,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,Fish,Forage fish,Forage fish,Forage fish,Fish,Vertebrate
CHY,27,1,ChinookY_Fish,Chinook Hatch Yearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
CHS,28,1,ChinookSY_Fish,Chinook Hatch Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
CSY,29,1,ChinookSKY_Fish,Chinook Skagit Yearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
CSS,30,1,ChinookSKSY_Fish,Chinook Skagit Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
CSN,31,1,ChinookSSY_Fish,Chinook Snohomish Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
CDS,32,1,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
CNY,33,1,ChinookNY_Fish,Chinook Nisqually Yearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
CNS,34,1,ChinookNSY_Fish,Chinook Nisqually Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
CHC,35,1,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
CYE,36,1,ChinookOY_Fish,Chinook other Yearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
CKS,37,1,ChinookOSY_Fish,Chinook other Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
CRH,38,1,ChinookResH_Fish,Chinook resident Hood canal,5,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,0,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
CRW,39,1,ChinookResN_Fish,Chinook resident North Puget Sound,5,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,0,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
CRC,40,1,ChinookResW_Fish,Chinook resident central south Puget Sound,5,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,0,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
COH,41,1,CohoHY_Fish,Coho Hatch Yearling,3,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Coho,Salmon,Fish,Vertebrate
